"","dcterms.references","dwc.phylum","dwc.collectionID","dwc.informationWithheld","dcterms.rightsHolder","dwc.maximumDepthInMeters","dwc.higherClassification","dwc.catalogNumber","dwc.latestEraOrHighestErathem","dwc.minimumDepthInMeters","symbiota.verbatimScientificName","dcterms.accessRights","dwc.rightsHolder","idigbio.associatedRelationship","idigbio.substrate","dwc.previousIdentifications","dwc.decimalLatitude","dwc.geodeticDatum","dwc.recordNumber","dwc.taxonRemarks","idigbio.recordID","dwc.associatedReferences","inhs.dead","row.number","idigbio.preparationCount","inhs.instars_Male","idigbio.hostFamily","inhs.location_Basin","dwc.scientificNameID","dwc.preparations","fcc.pickedBy","dwc.otherCatalogNumbers","idigbio.barcodeValue","dwc.day","dwc.eventDate","dcterms.source","inhs.formII_females","idigbio.associateCommonName","dwc.verbatimDepth","fcc.datePicked","dwc.taxonRank","dwc.datasetID","dwc.minimumElevationInMeters","dwc.georeferencedDate","dwc.maximumElevationInMeters","dwc.georeferenceVerificationStatus","dwc.country","dwc.disposition","dwc.individualID","dwc.latestPeriodOrHighestSystem","dwc.originalNameUsage","dwc.earliestEraOrLowestErathem","idigbio.subfamily","dwc.establishmentMeans","http...symbiota.org.terms.verbatimScientificName","idigbio.version","dwc.nameAccordingTo","dwc.fieldNotes","dwc.rights","dwc.infraspecificEpithet","dwc.dataGeneralizations","dwc.collectionCode","dwc.endDayOfYear","dcterms.modified","dwc.order","dwc.county","dcterms.language","dwc.identificationRemarks","dwc.samplingProtocol","dwc.verbatimTaxonRank","inhs.superfamily","dwc.verbatimSRS","dwc.locality","dwc.higherGeography","dwc.verbatimEventDate","dwc.group","dwc.georeferenceRemarks","idigbio.associateAuthor","dwc.institutionID","dwc.kingdom","dwc.accessRights","dwc.eventID","dwc.verbatimCoordinateSystem","dcterms.type","dwc.associatedTaxa","dwc.startDayOfYear","dwc.subgenus","dwc.identificationQualifier","inhs.total_Males","dwc.typeStatus","dwc.coordinatePrecision","dwc.stateProvince","dwc.georeferenceProtocol","idigbio.associateNotes","dwc.earliestPeriodOrLowestSystem","dwc.recordedBy","dwc.occurrenceStatus","dwc.footprintWKT","dwc.dynamicProperties","inhs.total_females","dwc.ownerInstitutionCode","dwc.earliestEpochOrLowestSeries","dwc.verbatimLongitude","dwc.year","dwc.family","dwc.georeferenceSources","dwc.eventTime","dwc.locationID","inhs.relic","dwc.nomenclaturalStatus","idigbio.associatedFamily","dwc.verbatimLocality","dwc.verbatimElevation","dwc.dateIdentified","dwc.samplingEffort","dwc.institutionCode","dwc.nomenclaturalCode","idigbio.determinationHistory","idigbio.tribe","inhs.vouchered","dcterms.rights","dwc.taxonID","symbiotaverbatimScientificName","dwc.decimalLongitude","dwc.locationAccordingTo","dwc.vernacularName","inhs.location_Stream","fcc.subfamily","idigbio.uuid","dwc.specificEpithet","dcterms.reference","inhs.juv_males","idigbio.subgenus","dwc.latestEpochOrHighestSeries","dwc.namePublishedIn","dwc.associatedMedia","idigbio.createdBy","dwc.behavior","dwc.individualCount","dwc.lowestBiostratigraphicZone","dwc.habitat","idigbio.associateDeterminedBy","dwc.namePublishedInID","inhs.locationTrs","dwc.VerbatimEventDate","inhs.location_RiverMile","dwc.verbatimLatitude","dwc.reproductiveCondition","dwc.month","inhs.formI_males","dwc.identificationReferences","id","dwc.occurrenceID","dwc.datasetName","dwc.identificationID","dwc.georeferencedBy","dwc.municipality","idigbio.recordIds","dwc.associatedOccurrences","dwc.formation","dwc.locationRemarks","idigbio.associateCondition","dwc.preparation","dwc.occurrenceRemarks","dwc.verbatimCoordinates","dwc.coordinateUncertaintyInMeters","dwc.bed","dwc.earliestAgeOrLowestStage","dwc.countryCode","dwc.relatedResourceID","dwc.lifeStage","fcc.superfamily","dwc.sex","idigbio.recordId","inhs.formII_males","dwc.associatedSequences","dwc.class","dwc.scientificName","dwc.eventRemarks","dwc.waterBody","dwc.lithostratigraphicTerms","dwc.continent","idigbio.associateIdentifier","dwc.identifiedBy","inhs.juv_undetermined","idigbio.preservative","inhs.juv_females","idigbio.endangeredStatus","dwc.basisOfRecord","dwc.islandGroup","dwc.identificationVerificationStatus","idigbio.dateModified","inhs.live","dwc.member","dwc.scientificNameAuthorship","dwc.island","dwc.fieldNumber","inhs.instars_Female","dcterms.bibliographicCitation","idigbio.etag","dwc.genus","dwc.latestAgeOrHighestStage","idigbio.associateRelationship"
"599","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1241","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1917-01-01/1917-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-06-04 11:08:20.0","Aspidochirotida","","en","","",NA,NA,NA,"Samoa, Tutuila Island, Pago Pago","Pacific Ocean, Pacific, Eastern Central","1917",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"John W. Mills",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200c2a09-ab4c-4ed6-91c2-405b49866e3e","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1241","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"200c2a09-ab4c-4ed6-91c2-405b49866e3e","MCZ:IZ:HOL-1241",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T13:13:31.742Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"aa8269a6e3418fbd0d24ccd7b6ec62471963908a","Holothuria",NA,NA
"627","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-546","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-546",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1859-01-01/1860-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-04-17 11:40:02.0","Aspidochirotida","","en","","",NA,NA,NA,"United States, Hawaiian Islands","Pacific Ocean, Pacific, Eastern Central","1859 or 1860",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Andrew Garrett",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1c7f9db2-191e-4925-adf9-0ca407d109be","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-546","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"1c7f9db2-191e-4925-adf9-0ca407d109be","MCZ:IZ:HOL-546",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T14:18:24.842Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"45545492316b9692b13a1427761ee83204d5fa55","Holothuria",NA,NA
"644","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4052","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-4052",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1946-01-01/1946-01-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-04 15:02:32.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, South Australia: south coast of Kangaroo Island","Indian Ocean, Indian Ocean, Eastern","January 1946",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"[no agent data]",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"455a7765-7fc3-4333-a737-896abe78db93","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4052","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"455a7765-7fc3-4333-a737-896abe78db93","MCZ:IZ:HOL-4052",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Indian Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-13T05:14:28.302Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"7a14a2c8c1577a85c9260c65c2cc840373cbf132","Holothuria",NA,NA
"645","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-949","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-949",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1800-01-01/1913-01-01",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-02 12:02:27.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, West Australia","Indian Ocean, Indian Ocean, Eastern","unknown",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"[no agent data]",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"709cc054-46f9-4d63-88e4-fcd718d56329","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-949","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"709cc054-46f9-4d63-88e4-fcd718d56329","MCZ:IZ:HOL-949",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Indian Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T18:22:35.525Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"330d9613c84c3874581122b2dc5c4481864460aa","Holothuria",NA,NA
"647","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-968","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-968",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (dry)",NA,"",NA,NA,"1913-10-01/1913-10-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-02 13:36:16.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, Queensland; Torres Strait","Pacific Ocean, Pacific, Western Central","October 1913",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Carnegie Expedition to the Torres Strait, Hubert Lyman Clark",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7e936c7-3397-4859-979e-cf3ef14e929d","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-968","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"c7e936c7-3397-4859-979e-cf3ef14e929d","MCZ:IZ:HOL-968",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"Hubert Lyman Clark",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-13T02:52:34.726Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"b0fd260859734250eda8a00f8a74de5ae991f575","Holothuria",NA,NA
"936","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1848","Echinodermata",NA,NA,"President and Fellows of Harvard College",21.9456,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1848",NA,21.9456,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"station number=33",NA,NA,"1899-01-01/1899-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-04 11:02:26.0","Aspidochirotida","","en","","trqwl dredge",NA,NA,NA,"Indonesia: Lombok, Bay of Pidjot","Indian Ocean, Indian Ocean, Eastern","unknown",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Siboga Expedition",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7074f4e3-84a8-4833-a63a-6e78d441b4d9","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1848","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"7074f4e3-84a8-4833-a63a-6e78d441b4d9","MCZ:IZ:HOL-1848",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Indian Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T22:25:07.579Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"a5623dc6a63e4f0ea05ada9d0fb459082b334dac","Holothuria",NA,NA
"996","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2099","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-2099",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","293-7",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"collector number=293-7; station number=343-35",NA,NA,"1934-12-12",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-07-02 13:14:56.0","Aspidochirotida","","en","","",NA,NA,NA,"Ecuador: Galapagos Islands, James Island; Sulivan Bay","Pacific Ocean, Pacific, Eastern Central","December 12, 1934",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35ca7d36-d670-4918-95c2-1f8b341b7266","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2099","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"35ca7d36-d670-4918-95c2-1f8b341b7266","MCZ:IZ:HOL-2099",NA,NA,"",NA,NA,"from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3415567""> MCZ IZ 128113</a>",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-09-10T01:03:16.971Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"c9d0204f2d6f3f2c29456852e9019d43640cb429","Holothuria",NA,NA
"1184","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1013","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1013",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1913-09-13",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-05-16 13:41:10.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, Queensland; Torres Strait, Friday Harbor","Pacific Ocean, Pacific, Western Central","September 13, 1913",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b9b6ae3d-698c-40e1-a993-5239eef38d4e","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1013","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"b9b6ae3d-698c-40e1-a993-5239eef38d4e","MCZ:IZ:HOL-1013",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"Hubert Lyman Clark",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-05-28T21:40:01.900Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"531a585ab8d541a2a8a6f0e971c1e19b4d0d437c","Holothuria",NA,NA
"1185","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-562","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-562",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1896-05-12",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-01-10 08:24:14.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, Cookstown, Great Barrier Reef","Pacific Ocean, Pacific, Western Central","12/5/1896",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Alexander Agassiz",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b653de10-7e64-487c-86fe-1559dafa13ea","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-562","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"b653de10-7e64-487c-86fe-1559dafa13ea","MCZ:IZ:HOL-562",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-05-28T20:21:16.720Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"fd71f8760af359b4d5bebf2d549ec28b764aaaf3","Holothuria",NA,NA
"1202","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1796","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1796",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1700-01-01/1937-01-01",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-08-13 13:43:59.0","Aspidochirotida","","en","","",NA,NA,NA,"Indonesia: Bay of Batavia","Pacific Ocean, Pacific, Western Central","unknown",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Carel Philip Sluiter",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"733fe1ab-b486-4479-852b-f9e7418c3eb1","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1796","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"733fe1ab-b486-4479-852b-f9e7418c3eb1","MCZ:IZ:HOL-1796",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T15:07:10.577Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"409db8019575484499f93c1de455c54ab6dbfc0e","Holothuria",NA,NA
"1238","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-560","Echinodermata",NA,NA,"President and Fellows of Harvard College",10.9728,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-560",NA,7.3152,NA,NA,NA,NA,NA,NA,11.167626,"WGS84","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1909-04-01",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-06-13 13:59:54.0","Aspidochirotida","","en","","",NA,NA,NA,"Republic of the Philippines, Cebu, Bantayan Reef","Pacific Ocean, Pacific, Western Central","April 1909",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"decimal degrees","PhysicalObject",NA,0,NA,NA,NA,"",18118,"","GEOLocate",NA,NA,"Dr. Lawrence E. Griffin, Philippine Marine Biological Station",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"123.722643d",NA,"Holothuriidae","GEOLocate",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,123.722643,NA,NA,NA,NA,"3b7aa7a2-f98d-47ae-b733-a1c153d21779","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-560","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"11.167626d",NA,NA,NA,NA,"3b7aa7a2-f98d-47ae-b733-a1c153d21779","MCZ:IZ:HOL-560",NA,NA,"Jessica Anne Mullen",NA,NA,"",NA,"",NA,NA,NA,"",18118,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"unverified","2014-07-12T20:34:44.533Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"fe95946f722129aae154aed127c57989c67b50f0","Holothuria",NA,NA
