"","idigbio.associateCondition","dwc.taxonRank","idigbio.determinationHistory","dwc.startDayOfYear","dwc.identificationRemarks","inhs.location_Basin","dwc.rightsHolder","fcc.pickedBy","fcc.subfamily","fcc.superfamily","dcterms.accessRights","dwc.day","dwc.behavior","dwc.associatedReferences","idigbio.associateRelationship","idigbio.preparationCount","dwc.higherClassification","dwc.occurrenceStatus","dwc.individualCount","dwc.scientificNameAuthorship","dwc.fieldNotes","inhs.superfamily","dwc.georeferenceProtocol","dwc.footprintWKT","dwc.georeferencedBy","dwc.latestPeriodOrHighestSystem","inhs.juv_undetermined","inhs.location_RiverMile","dwc.taxonID","dcterms.language","dwc.occurrenceRemarks","dwc.preparations","dwc.kingdom","dcterms.reference","dwc.identificationQualifier","idigbio.endangeredStatus","dcterms.rightsHolder","dwc.vernacularName","dwc.country","inhs.formI_males","dwc.relatedResourceID","idigbio.version","dwc.verbatimEventDate","dwc.ownerInstitutionCode","dwc.endDayOfYear","dwc.otherCatalogNumbers","idigbio.recordIds","idigbio.createdBy","dwc.locationID","dwc.identifiedBy","idigbio.barcodeValue","dwc.lithostratigraphicTerms","dwc.municipality","dwc.minimumDepthInMeters","dwc.county","dwc.typeStatus","dwc.georeferenceRemarks","inhs.total_Males","dwc.eventTime","dwc.maximumElevationInMeters","idigbio.etag","dwc.subgenus","dwc.specificEpithet","dwc.individualID","idigbio.subgenus","dwc.minimumElevationInMeters","dwc.waterBody","dwc.georeferencedDate","dwc.preparation","dwc.group","idigbio.preservative","symbiotaverbatimScientificName","dwc.verbatimLocality","dwc.eventRemarks","inhs.instars_Male","dwc.datasetID","idigbio.associateAuthor","dwc.coordinatePrecision","idigbio.dateModified","dwc.previousIdentifications","dwc.identificationVerificationStatus","dwc.member","dwc.identificationReferences","inhs.dead","dwc.verbatimCoordinateSystem","dwc.order","dwc.georeferenceVerificationStatus","idigbio.associateNotes","dwc.earliestEpochOrLowestSeries","dcterms.type","dwc.locationRemarks","dwc.associatedSequences","dwc.informationWithheld","symbiota.verbatimScientificName","dwc.stateProvince","dwc.continent","dwc.disposition","dwc.bed","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.sex","dwc.rights","dwc.infraspecificEpithet","idigbio.associateCommonName","dwc.associatedOccurrences","id","dwc.associatedMedia","idigbio.associatedFamily","dwc.collectionCode","inhs.juv_males","dwc.scientificNameID","dwc.institutionID","dwc.georeferenceSources","dwc.coordinateUncertaintyInMeters","dwc.verbatimCoordinates","dwc.taxonRemarks","idigbio.associatedRelationship","dcterms.rights","dwc.dataGeneralizations","dwc.nameAccordingTo","dwc.namePublishedInID","dwc.lifeStage","inhs.instars_Female","inhs.formII_females","dwc.phylum","dwc.formation","dwc.identificationID","dwc.eventID","dwc.samplingEffort","dwc.fieldNumber","dwc.latestEpochOrHighestSeries","inhs.locationTrs","dwc.accessRights","dwc.latestEraOrHighestErathem","dcterms.bibliographicCitation","fcc.datePicked","dwc.verbatimLongitude","dwc.geodeticDatum","row.number","dwc.verbatimTaxonRank","inhs.juv_females","inhs.formII_males","dwc.catalogNumber","idigbio.tribe","dwc.earliestAgeOrLowestStage","dwc.reproductiveCondition","dwc.namePublishedIn","idigbio.recordID","dwc.recordNumber","dcterms.modified","dwc.establishmentMeans","dwc.verbatimDepth","dcterms.source","idigbio.hostFamily","dwc.locationAccordingTo","idigbio.substrate","dwc.higherGeography","dcterms.references","dwc.institutionCode","dwc.verbatimSRS","dwc.basisOfRecord","dwc.islandGroup","dwc.nomenclaturalStatus","dwc.nomenclaturalCode","dwc.decimalLatitude","dwc.verbatimElevation","inhs.location_Stream","inhs.relic","dwc.recordedBy","idigbio.subfamily","dwc.verbatimLatitude","dwc.island","dwc.occurrenceID","dwc.scientificName","dwc.locality","dwc.associatedTaxa","http...symbiota.org.terms.verbatimScientificName","dwc.year","inhs.total_females","idigbio.uuid","dwc.decimalLongitude","dwc.samplingProtocol","inhs.vouchered","dwc.originalNameUsage","idigbio.associateIdentifier","dwc.month","dwc.eventDate","dwc.collectionID","dwc.lowestBiostratigraphicZone","idigbio.recordId","dwc.countryCode","dwc.genus","idigbio.associateDeterminedBy","dwc.habitat","dwc.earliestPeriodOrLowestSystem","dwc.dateIdentified","dwc.latestAgeOrHighestStage","dwc.class","dwc.family","inhs.live","dwc.VerbatimEventDate","dwc.datasetName","dwc.maximumDepthInMeters"
"1514",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"March 13-19, 1858","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"4018cff7c65b4b46cda1aebd504f9d30aeb6468c",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T18:31:45.422Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","21198003-bdc7-4e50-a026-8825291b5290","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-623",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-623",NA,NA,NA,NA,NA,"","2014-02-14 13:52:41.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-623","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"J.E. Mills",NA,"",NA,"MCZ:IZ:HOL-623","Holothuria (Halodeima) grisea","Florida: The Tortugas",NA,NA,NA,NA,"21198003-bdc7-4e50-a026-8825291b5290",NA,"",NA,NA,NA,NA,"1858-03-13/1858-03-19",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"1830",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"March 1912","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"6e35daf3ab86467508a518d52d6718acdeb76423",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,7323,"2014-07-12T14:09:01.047Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","0d775f43-8352-4285-99aa-da566d63d434","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-916",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",7323,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-77.936494d","WGS84",NA,NA,NA,NA,"HOL-916",NA,NA,NA,NA,NA,"","2014-02-14 11:02:29.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-916","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",18.470042,NA,NA,NA,"Hubert Lyman Clark",NA,"18.470042d",NA,"MCZ:IZ:HOL-916","Holothuria (Halodeima) grisea","Jamaica, 5 miles East of Montego Bay",NA,NA,NA,NA,"0d775f43-8352-4285-99aa-da566d63d434",-77.936494,"",NA,NA,NA,NA,"1912-03-01/1912-03-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2042",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"April 22, 1861","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"5413154c63acb9f8a72d4f6f4b2db5ae87cea677",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-02-28T07:46:25.693Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","47066fc0-2ead-4513-be4b-661ea99ba768","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-621",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-621",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-621","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"F.G. Shaw",NA,"",NA,"MCZ:IZ:HOL-621","Holothuria (Halodeima) grisea","Bahamas, New Providence",NA,NA,NA,NA,"47066fc0-2ead-4513-be4b-661ea99ba768",NA,"",NA,NA,NA,NA,"1861-04-22",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2094",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"1910","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"4ddc2c9e394ece41484b32caff4e79896382f32e",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T13:44:42.347Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","caf8b310-9030-4cc6-9ba0-fc2223446306","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-614",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-614",NA,NA,NA,NA,NA,"","2014-02-12 14:02:26.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-614","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Ethan Allen Andrews",NA,"",NA,"MCZ:IZ:HOL-614","Holothuria (Halodeima) grisea","Jamaica: Bathing Beach, Montego Bay",NA,NA,NA,NA,"caf8b310-9030-4cc6-9ba0-fc2223446306",NA,"",NA,NA,NA,NA,"1910-01-01/1910-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2110",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"3/4/1872","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"56de3f1d1162d2e62d91d77e8882e19b2f9356fa",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-13T00:49:08.458Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","551b7963-c287-47b6-848f-327d6c72e177","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-626",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-626",NA,NA,NA,NA,NA,"","2014-02-12 12:02:26.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-626","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"William Stimpson, Bache Expedition (1872-1874)",NA,"",NA,"MCZ:IZ:HOL-626","Holothuria (Halodeima) grisea","Off west coast of Florida",NA,NA,NA,NA,"551b7963-c287-47b6-848f-327d6c72e177",NA,"",NA,NA,NA,NA,"1872-04-19/1872-04-24",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2425",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Penny Benson",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"April 1, 1916","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"cfb5f95e35b83c8f2dc75e27ab914972d602f82c",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,647,"2014-08-04T20:16:39.666Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","8624663d-5dce-41a8-b573-ff65c1383c25","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1415",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",647,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-60.811479d","WGS84",NA,NA,NA,NA,"HOL-1415",NA,NA,NA,NA,NA,"","2014-05-15 10:02:11.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1415","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",11.177882,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition",NA,"11.177882d",NA,"MCZ:IZ:HOL-1415","Holothuria (Halodeima) grisea","Trinidad and Tobago: Tobago: Buccoo Bay",NA,NA,NA,NA,"8624663d-5dce-41a8-b573-ff65c1383c25",-60.811479,"",NA,NA,NA,NA,"1916-04-01",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2669",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"GEOLocate",NA,"Jessica Anne Mullen",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"1896 & 1897","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"7886370ec30bbb2b844ebe2d67b636f484c4611e",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,130916,"2014-07-13T03:04:32.060Z",NA,"unverified",NA,NA,NA,"decimal degrees","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","1d82ef38-e482-4f42-a3f6-cbb6d3d78f1c","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-630",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","GEOLocate",130916,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"-77.313232d","WGS84",NA,NA,NA,NA,"HOL-630",NA,NA,NA,NA,NA,"","2014-02-14 11:02:28.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-630","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",18.218696,NA,NA,NA,"Hubert Lyman Clark",NA,"18.218696d",NA,"MCZ:IZ:HOL-630","Holothuria (Halodeima) grisea","Jamaica",NA,NA,NA,NA,"1d82ef38-e482-4f42-a3f6-cbb6d3d78f1c",-77.313232,"",NA,NA,NA,NA,"1896-01-01/1897-12-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2698",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"Google Earth",NA,"Penny Benson",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"December 15-21, 1871","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","Georeference based on reference to St. Thomas from Dec 14-24, 1871 (Penny Benson)",NA,NA,NA,"f2f8d621feb7ceedd3d54c37d2ecedf2805679a1",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T14:47:37.811Z",NA,"unverified",NA,NA,NA,"deg. min. sec.","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","f5985334-2569-49cd-bab0-493ad7e528fe","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-628",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Coordinates based on JH Blakes travel journal kept during the Hassler Expedition",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"64d 45m 32s W","WGS84",NA,NA,NA,NA,"HOL-628",NA,NA,NA,NA,NA,"","2014-05-14 09:46:55.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-628","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",18.2644444444,NA,NA,NA,"Hassler Expedition",NA,"18d 15m 52s N",NA,"MCZ:IZ:HOL-628","Holothuria (Halodeima) grisea","St. Thomas",NA,NA,NA,NA,"f5985334-2569-49cd-bab0-493ad7e528fe",-64.7588888889,"",NA,NA,NA,NA,"1871-12-15/1871-12-21",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2709",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"August, 1937","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"f9f2f770dc77f049b66979aa3897cc749c82888a",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T22:31:42.257Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","4f860620-39bb-4047-83aa-41a6f88252ca","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1836",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-1836",NA,NA,NA,NA,NA,"","2014-02-12 14:02:27.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1836","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Elisabeth Deichmann",NA,"",NA,"MCZ:IZ:HOL-1836","Holothuria (Halodeima) grisea","Trinidad and Tobago: Toco",NA,NA,NA,NA,"4f860620-39bb-4047-83aa-41a6f88252ca",NA,"",NA,NA,NA,NA,"1937-08-01/1937-08-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2713",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"Apr 1865 - July 1866","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"968ca9927c9874b68703404b1aec738cd612aa8e",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-13T02:27:49.658Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","1fd010af-3c27-4425-aabe-d9289ebfa2d3","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-887",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-887",NA,NA,NA,NA,NA,"","2014-02-14 11:02:31.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Southwest","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-887","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"Edward Copeland, Charles F. Hartt",NA,"",NA,"MCZ:IZ:HOL-887","Holothuria (Halodeima) grisea","Guarapary, Brazil",NA,NA,NA,NA,"1fd010af-3c27-4425-aabe-d9289ebfa2d3",NA,"",NA,NA,NA,NA,"1865-04-01/1866-07-31",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
"2718",NA,NA,NA,0,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) grisea",NA,1,"Selenka, 1867",NA,NA,"",NA,"",NA,NA,NA,NA,"en",NA,"whole animal (70% ethanol)","Animalia",NA,NA,NA,"President and Fellows of Harvard College",NA,"",NA,NA,NA,"[date unknown]","Museum of Comparative Zoology, Harvard University",NA,"",NA,"872733a2-67a3-4c54-aa76-862735a5f334","","[no agent data]",NA,NA,NA,NA,"","","",NA,NA,NA,"bf345a10da12b240b05fa3520250a90d6b846fad",NA,"grisea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"2014-07-12T17:40:00.508Z",NA,"",NA,NA,NA,"","Aspidochirotida",NA,NA,NA,"PhysicalObject","",NA,NA,NA,"","Atlantic Ocean","not applicable",NA,NA,"","",NA,"",NA,"","3d637a5d-f09d-41b0-9571-a89b676f2e9a","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-617",NA,"IZ",NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinodermata",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"HOL-617",NA,NA,NA,NA,NA,"","2014-02-12 12:02:26.0",NA,"",NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-617","MCZ",NA,"PreservedSpecimen",NA,NA,"ICZN",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-617","Holothuria (Halodeima) grisea","Haiti: Gonaives",NA,NA,NA,NA,"3d637a5d-f09d-41b0-9571-a89b676f2e9a",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"Holothuria",NA,"",NA,"",NA,"Holothuroidea","Holothuriidae",NA,NA,NA,NA
