"","dwc.accessRights","dcterms.rights","dwc.recordedBy","dwc.latestPeriodOrHighestSystem","dwc.scientificNameAuthorship","dwc.ownerInstitutionCode","dwc.basisOfRecord","idigbio.createdBy","idigbio.associateAuthor","dwc.individualID","dwc.day","dwc.verbatimCoordinateSystem","idigbio.hostFamily","dwc.stateProvince","dwc.associatedReferences","dwc.subgenus","dwc.latestEpochOrHighestSeries","dwc.taxonID","dwc.identificationReferences","dwc.lifeStage","dwc.continent","dwc.municipality","id","idigbio.tribe","dwc.footprintWKT","symbiotaverbatimScientificName","dwc.verbatimTaxonRank","dwc.country","dwc.rights","dwc.eventDate","dwc.countryCode","dcterms.reference","inhs.formI_males","dwc.higherClassification","dwc.minimumElevationInMeters","dwc.phylum","dwc.relatedResourceID","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dwc.institutionCode","dwc.group","inhs.instars_Female","dwc.maximumElevationInMeters","idigbio.subgenus","dwc.originalNameUsage","dwc.month","inhs.location_RiverMile","dwc.collectionID","dwc.associatedTaxa","idigbio.substrate","dwc.occurrenceStatus","inhs.formII_females","dcterms.references","dwc.occurrenceID","fcc.subfamily","idigbio.subfamily","dwc.locality","dwc.coordinateUncertaintyInMeters","dwc.scientificName","inhs.relic","dwc.associatedMedia","dwc.previousIdentifications","dwc.samplingProtocol","dwc.decimalLongitude","dwc.georeferencedDate","dwc.verbatimElevation","inhs.live","inhs.location_Basin","dwc.establishmentMeans","inhs.location_Stream","idigbio.endangeredStatus","dwc.geodeticDatum","dwc.earliestAgeOrLowestStage","idigbio.associateRelationship","dwc.verbatimEventDate","dwc.year","dwc.habitat","idigbio.recordID","idigbio.uuid","idigbio.etag","dwc.verbatimLongitude","dwc.earliestPeriodOrLowestSystem","dcterms.modified","dwc.vernacularName","dcterms.source","dwc.samplingEffort","idigbio.associatedRelationship","dwc.namePublishedIn","dwc.nomenclaturalCode","dwc.georeferenceRemarks","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","dwc.startDayOfYear","dwc.sex","idigbio.associateDeterminedBy","dwc.reproductiveCondition","dwc.minimumDepthInMeters","dwc.typeStatus","idigbio.associateCondition","dwc.family","dwc.infraspecificEpithet","dcterms.type","dwc.kingdom","dwc.associatedSequences","inhs.total_Males","dwc.fieldNumber","dwc.taxonRank","dwc.taxonRemarks","dcterms.bibliographicCitation","fcc.datePicked","dwc.order","idigbio.determinationHistory","dwc.eventTime","dwc.scientificNameID","dcterms.accessRights","dwc.identificationQualifier","dwc.associatedOccurrences","inhs.juv_undetermined","dwc.preparations","inhs.juv_males","dwc.lowestBiostratigraphicZone","dwc.island","dwc.identifiedBy","dwc.waterBody","dwc.institutionID","dwc.nameAccordingTo","dwc.bed","idigbio.preservative","dwc.specificEpithet","dwc.VerbatimEventDate","dwc.nomenclaturalStatus","dwc.formation","inhs.locationTrs","dwc.recordNumber","dwc.verbatimDepth","dwc.datasetID","fcc.superfamily","dwc.latestAgeOrHighestStage","dwc.class","dwc.verbatimLatitude","inhs.superfamily","dwc.earliestEraOrLowestErathem","dwc.disposition","dwc.namePublishedInID","dwc.member","idigbio.associatedFamily","http...symbiota.org.terms.verbatimScientificName","dwc.dateIdentified","dwc.locationAccordingTo","dwc.georeferenceSources","idigbio.associateIdentifier","idigbio.preparationCount","dwc.preparation","inhs.juv_females","idigbio.recordIds","dwc.coordinatePrecision","row.number","inhs.instars_Male","idigbio.associateNotes","dwc.georeferenceProtocol","dwc.datasetName","dcterms.rightsHolder","dwc.dataGeneralizations","dwc.endDayOfYear","dwc.higherGeography","idigbio.associateCommonName","dwc.county","dwc.verbatimSRS","dwc.collectionCode","dwc.georeferencedBy","dwc.dynamicProperties","idigbio.version","dcterms.language","dwc.decimalLatitude","dwc.locationID","dwc.catalogNumber","dwc.individualCount","dwc.eventID","dwc.locationRemarks","dwc.identificationRemarks","idigbio.dateModified","dwc.georeferenceVerificationStatus","dwc.verbatimLocality","dwc.verbatimCoordinates","dwc.identificationVerificationStatus","dwc.islandGroup","dwc.earliestEpochOrLowestSeries","dwc.informationWithheld","dwc.identificationID","dwc.lithostratigraphicTerms","inhs.dead","inhs.formII_males","inhs.total_females","idigbio.recordId","idigbio.barcodeValue","fcc.pickedBy","dwc.behavior","dwc.maximumDepthInMeters","dwc.genus","dwc.eventRemarks","dwc.rightsHolder","inhs.vouchered","dwc.fieldNotes"
"1659",NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,2,"",NA,"Marquesas Islands","",NA,NA,NA,NA,NA,"",NA,"389fef5d-f5b6-45f1-be68-09e074543054",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","BBFD3985-3A64-4F11-8F25-A4CA83EE6D36",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-138.811783333333,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2011,"",NA,"389fef5d-f5b6-45f1-be68-09e074543054","c7998e28e6e7833b7216cc907a7cfcad8c17b426","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Hiva Oa",NA,"Invertebrate Zoology","","",NA,"",-9.7454,"MQ024","11246-Echinodermata",NA,NA,"","","2014-09-12T16:30:44.530Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1732",NA,NA,"Sea McKeon",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Samoa Islands","",NA,NA,NA,NA,NA,"",NA,"739860ed-3292-496e-a6f2-f58bc4c476b5",NA,NA,NA,NA,"American Samoa",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","64F5C1C0-5493-4355-A119-DE216D3CC8E7",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-169.7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2007,"",NA,"739860ed-3292-496e-a6f2-f58bc4c476b5","6fa5987f5f51ffe253ef3d8e791bda0d860ad6ac","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Ofu Island",NA,"Invertebrate Zoology","","",NA,"",-14.2,"SMOFU-001","5038-Echinodermata",NA,NA,"","","2014-09-12T15:55:20.058Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1889",NA,NA,"Nathaniel Evans",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,13,"",NA,"New Caledonia","",NA,NA,NA,NA,NA,"",NA,"d197963f-e496-4cdd-b0ef-bc95486b312a",NA,NA,NA,NA,"France",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,"","FCC7A716-BADD-4DC2-B175-618D4739DD9E",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",162.8987,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2013,"",NA,"d197963f-e496-4cdd-b0ef-bc95486b312a","c33e6f1330ed3baa1d2b0b817f68132451ec848c","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",-17.91205,"NEST21","15753-Echinodermata",NA,NA,"","","2014-09-12T12:33:46.308Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1899",NA,NA,"François Michonneau",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,16,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"62c76252-e4a2-4161-b395-a9fa3deb5dd1",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","D7588006-9FAA-4A54-90F2-2D6EE43C35DD",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.726632,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2008,"",NA,"62c76252-e4a2-4161-b395-a9fa3deb5dd1","f2ef4c1f50e3ca66ae8042265642813c91f578ed","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.479096,"FM-St-GU08-04","7139-Echinodermata",NA,NA,"","","2014-09-12T09:08:17.758Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1912",NA,NA,"Serge Andrefouet",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Tuamotu Archipelago","",NA,NA,NA,NA,NA,"",NA,"6b6e34bd-a3ec-44cd-9889-17a7b69b23d2",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2C2CFA4C-DBDC-4F22-A634-A7B6C8741937",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2013,"",NA,"6b6e34bd-a3ec-44cd-9889-17a7b69b23d2","d534af758220e35c6a84a42b222c503cb29858c0","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",NA,"Andrefouet-Rangiroa","13242-Echinodermata",NA,NA,"","","2014-09-12T09:28:13.518Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1963",NA,NA,"Starmer, J.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,1,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"db554985-c4be-4071-9c1e-f7857a6b60b9",NA,NA,NA,NA,"Northern Mariana Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"","AA1A7657-1FE8-415C-964D-4EC9B614A6CF",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2003,"",NA,"db554985-c4be-4071-9c1e-f7857a6b60b9","0d3d96f0fbc382a8f37b8fdc862753ff986b9f92","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",NA,"ZZZ-093162","4531-Echinodermata",NA,NA,"","","2014-09-12T17:40:40.827Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2032",NA,NA,"Fishermen",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,20,"",NA,"Ryukyus","",NA,NA,NA,NA,NA,"",NA,"84b09d9f-0b37-448b-952d-98b4c56c1824",NA,NA,NA,NA,"Japan",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","7C12E9A6-37C4-4C32-819F-7CC7EBDA1517",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",127.56,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2011,"",NA,"84b09d9f-0b37-448b-952d-98b4c56c1824","1f49b1adfe0cfe7a1a8fd003d04aeecfd4bf15f1","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Okinawa",NA,"Invertebrate Zoology","","",NA,"",26.25,"FMOK11-St-40","11043-Echinodermata",NA,NA,"","","2014-09-12T18:46:05.162Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2196",NA,NA,"Paulay, G.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,31,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"a1a47112-5df6-4d49-9292-ac919890dc6f",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","1559C08C-A472-4D68-819C-EE8CD6B4C6EE",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2003,"",NA,"a1a47112-5df6-4d49-9292-ac919890dc6f","dad6e4bba474fefece5d24d5e12ef96f527f1e70","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.5,"GP-Loc-754","4838-Echinodermata",NA,NA,"","","2014-09-12T17:47:19.070Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2199",NA,NA,"Paulay, G.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,17,"",NA,"Niue Island","",NA,NA,NA,NA,NA,"",NA,"2d1fbd42-05f1-453e-8f25-c82bbd0236c1",NA,NA,NA,NA,"Niue Island",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","0E895517-5BA3-49BB-908B-61EAB582A236",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-169.9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1986,"",NA,"2d1fbd42-05f1-453e-8f25-c82bbd0236c1","0246c2e6740f86bd0dcb76f6e0e8d7cce258fc17","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Niue Island",NA,"Invertebrate Zoology","","",NA,"",-19.1,"HNIUE-004","1334-Echinodermata",NA,NA,"","","2014-09-12T15:57:09.412Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2259",NA,NA,"Kris Netchy & Alex Kerr",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,31,"",NA,"Caroline Islands","",NA,NA,NA,NA,NA,"",NA,"ffef7487-5599-4565-9442-048bc2472edb",NA,NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","ED0514C3-3EB8-4AF5-B4F8-8556192E23EF",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",138.16055,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2007,"",NA,"ffef7487-5599-4565-9442-048bc2472edb","766de841c1dbdbf6de96a186947dc03b3c4bc7c9","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Yap State",NA,"Invertebrate Zoology","","",NA,"",9.50113,"AK-Yap-04","5866-Echinodermata",NA,NA,"","","2014-09-12T18:50:20.207Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2312",NA,NA,"John Starmer",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Marquesas Islands","",NA,NA,NA,NA,NA,"",NA,"f063cae2-d6eb-4e68-ae89-d7001e5780c4",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"","F091D9EA-3074-40F4-B2CF-5DBCF5D5D338",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-140.11352,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2012,"",NA,"f063cae2-d6eb-4e68-ae89-d7001e5780c4","10b01a6767609ef6941a09346cf9e95be58adeb4","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",-9.36858,"MQ-21","14068-Echinodermata",NA,NA,"","","2014-09-12T16:13:04.678Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2324",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Pitcairn Islands","",NA,NA,NA,NA,NA,"",NA,"035f85e8-1571-43d3-b194-a5601f29b3e1",NA,NA,NA,NA,"Pitcairn Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","BF342E80-B5EB-47F8-AD08-A574D7823E6E",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"035f85e8-1571-43d3-b194-a5601f29b3e1","7147f708ff06205334249030b53c43a9c9863ae3","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Henderson Island",NA,"Invertebrate Zoology","","",NA,"",NA,"ZZZ-090691","3198-Echinodermata",NA,NA,"","","2014-09-12T14:56:09.784Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2451",NA,NA,"Paulay, G.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,8,"",NA,"Cook Islands","",NA,NA,NA,NA,NA,"",NA,"3bae4ca9-ddfe-4cb9-9bf1-1951183c1e24",NA,NA,NA,NA,"Cook Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"","B6EC8697-1280-44C3-83EA-F3C979B3930F",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-159.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1984,"",NA,"3bae4ca9-ddfe-4cb9-9bf1-1951183c1e24","4ef2cab91f9f4cd1b7ff77a51101b98477cd99ca","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Rarotonga Island",NA,"Invertebrate Zoology","","",NA,"",-21.2,"HRAR-011","927-Echinodermata",NA,NA,"","","2014-09-12T18:27:58.040Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"2460",NA,NA,"Gustav Paulay, Sea McKeon, Brian Zgliczynski, Rusty Brainard, Jim Maragos & John Starmer",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,12,"",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,"",NA,"495db75b-74ad-4047-9784-5e8bc8b2779e",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"","4BB4EFD3-7D89-49EA-8A50-F3D73CDAA456",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-166.1842,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2006,"",NA,"495db75b-74ad-4047-9784-5e8bc8b2779e","f2dad1d3fb8260491014381203bb011181da96d8","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"French Frigate Shoals",NA,"Invertebrate Zoology","","",NA,"",23.8632,"FFS-0017","6079-Echinodermata",NA,NA,"","","2014-09-12T12:35:43.425Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
