"","idigbio.determinationHistory","dwc.taxonID","inhs.total_Males","dwc.georeferenceVerificationStatus","dwc.phylum","idigbio.substrate","dwc.family","dwc.preparations","dwc.associatedTaxa","dwc.class","dwc.earliestAgeOrLowestStage","dcterms.bibliographicCitation","dwc.taxonRank","idigbio.associateAuthor","idigbio.associatedFamily","dwc.islandGroup","inhs.locationTrs","symbiotaverbatimScientificName","dwc.datasetName","inhs.superfamily","dwc.coordinatePrecision","idigbio.subgenus","id","dwc.formation","idigbio.associateIdentifier","dwc.typeStatus","dwc.member","dwc.earliestEpochOrLowestSeries","dwc.continent","dwc.minimumElevationInMeters","dwc.habitat","dwc.locationRemarks","idigbio.endangeredStatus","dwc.collectionCode","dwc.order","idigbio.subfamily","dcterms.references","dwc.day","inhs.instars_Male","dwc.earliestPeriodOrLowestSystem","dwc.subgenus","dwc.lowestBiostratigraphicZone","dwc.georeferenceSources","dwc.occurrenceRemarks","dwc.institutionCode","dwc.kingdom","inhs.juv_females","dwc.georeferenceRemarks","fcc.superfamily","dwc.eventDate","dwc.latestEpochOrHighestSeries","idigbio.recordIds","dwc.scientificName","dwc.scientificNameAuthorship","dwc.preparation","dwc.stateProvince","dwc.associatedSequences","dwc.identificationQualifier","dwc.countryCode","inhs.formII_males","fcc.subfamily","dwc.eventTime","inhs.instars_Female","dcterms.rights","dwc.nomenclaturalCode","dwc.group","idigbio.associateNotes","dwc.higherGeography","dwc.latestEraOrHighestErathem","dwc.fieldNumber","dwc.locationID","dwc.latestPeriodOrHighestSystem","idigbio.dateModified","dwc.scientificNameID","dwc.verbatimDepth","idigbio.tribe","dwc.datasetID","dwc.vernacularName","idigbio.version","dwc.geodeticDatum","dwc.informationWithheld","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimLocality","inhs.location_RiverMile","dwc.namePublishedIn","dwc.verbatimTaxonRank","row.number","dcterms.rightsHolder","dwc.locality","dwc.endDayOfYear","dwc.relatedResourceID","dwc.associatedMedia","dwc.individualID","inhs.formII_females","dwc.locationAccordingTo","dwc.individualCount","dwc.VerbatimEventDate","dcterms.source","symbiota.verbatimScientificName","dwc.startDayOfYear","fcc.datePicked","dwc.institutionID","inhs.location_Stream","dwc.georeferencedDate","dwc.waterBody","dwc.dataGeneralizations","inhs.juv_males","dwc.latestAgeOrHighestStage","dwc.dateIdentified","dwc.samplingProtocol","inhs.live","dwc.verbatimEventDate","dwc.decimalLatitude","idigbio.hostFamily","dwc.infraspecificEpithet","dwc.georeferencedBy","dcterms.language","dwc.namePublishedInID","dwc.basisOfRecord","dwc.island","dwc.originalNameUsage","idigbio.recordId","dwc.samplingEffort","dwc.establishmentMeans","inhs.relic","dwc.bed","dwc.footprintWKT","dwc.municipality","dwc.county","idigbio.associateCondition","dwc.verbatimSRS","dwc.verbatimCoordinateSystem","idigbio.etag","dwc.lifeStage","dwc.identificationID","dwc.recordNumber","dwc.ownerInstitutionCode","idigbio.preparationCount","dwc.genus","idigbio.associateRelationship","dwc.behavior","idigbio.uuid","dcterms.modified","dwc.identificationRemarks","dwc.catalogNumber","dwc.georeferenceProtocol","dwc.occurrenceStatus","dwc.eventRemarks","idigbio.recordID","dcterms.accessRights","dwc.recordedBy","dwc.taxonRemarks","dwc.associatedOccurrences","dwc.nomenclaturalStatus","dwc.associatedReferences","idigbio.associateDeterminedBy","dwc.sex","inhs.juv_undetermined","dwc.previousIdentifications","dwc.disposition","idigbio.associatedRelationship","dwc.verbatimLongitude","dwc.maximumDepthInMeters","fcc.pickedBy","dcterms.type","dwc.lithostratigraphicTerms","idigbio.barcodeValue","dwc.earliestEraOrLowestErathem","dwc.dynamicProperties","dwc.eventID","dwc.identificationVerificationStatus","dwc.rights","dwc.maximumElevationInMeters","dwc.identifiedBy","dwc.fieldNotes","inhs.total_females","dwc.occurrenceID","dwc.accessRights","dwc.decimalLongitude","dwc.higherClassification","inhs.formI_males","inhs.vouchered","dwc.verbatimLatitude","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.rightsHolder","idigbio.associateCommonName","dwc.verbatimCoordinates","inhs.dead","idigbio.preservative","dwc.identificationReferences","dwc.reproductiveCondition","dwc.coordinateUncertaintyInMeters","dwc.year","dcterms.reference","dwc.verbatimElevation","dwc.country","inhs.location_Basin","dwc.specificEpithet","dwc.month","dwc.nameAccordingTo","idigbio.createdBy","dwc.collectionID"
"2645",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"771dc6de-b7e2-4ea3-ba2e-ebb65edc9365",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2094",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1935-09-05",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-01-11T08:31:25.259Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Barbados",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2094",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"September 5, 1935",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","8812c1d46c627e46cf44075a53350bc301978d32",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"771dc6de-b7e2-4ea3-ba2e-ebb65edc9365","2012-11-27 10:02:28.0","","HOL-2094","",NA,"",NA,NA,"Charles M. Pomerat",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Unknown",NA,NA,"MCZ:IZ:HOL-2094",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2651",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","partial animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"543ed8d3-4398-40a6-b1d1-08bf3683c86a",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4070",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1962-01-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-01-12T00:12:08.176Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Off Mexico, Sonora, Norse Beach",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4070",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1962-01-31",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","c9ddd28169f2a83795fe5b33de5fbff9911c02b8",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"543ed8d3-4398-40a6-b1d1-08bf3683c86a","2012-12-17 12:03:28.0","","HOL-4070","",NA,"",NA,NA,"CAW Jr",NA,"from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3242848""> MCZ IZ HOL-4067</a>",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-4070",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","other number=1",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2667",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6c277067-05f6-49ba-bcf2-fcf1d04468e4",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127887",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-02-15",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-13T03:19:38.235Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Ecuador, East of Wreck Bay, Chatham Island, Galapagos Islands",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127887",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"January 21, 1934",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","55e30f8bb4121b177bc42cb60cb462405e35e434",NA,NA,"397-62","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"6c277067-05f6-49ba-bcf2-fcf1d04468e4","2014-07-02 13:06:13.0","","127887","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:127887",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-62; original ledger number=3000Q; station number=170-34",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2679",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6cd5b68d-6d4f-49f0-92e9-41d9d7dc3e0c",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1880",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1938-01-22",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Southeast",NA,"","",NA,"2014-07-13T02:53:00.456Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Ecuador: Galapagos Islands, Albermarle Island, Cartago Bay",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1880",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"January 22, 1938",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","d7534854fdc21bbd52fc304c988286fa6526b278",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"6cd5b68d-6d4f-49f0-92e9-41d9d7dc3e0c","2012-11-16 11:02:38.0","","HOL-1880","",NA,"",NA,NA,"Hancock Pacific Expeditions, RV Velero III",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1880",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2683",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b3fe83f-0635-4f44-b6ac-a81c8ca90bec",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127881",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1934-03-05",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-12T13:00:49.750Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Ecuador, Sullivan Bay James Island, Galapagos Islands",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127881",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"March 5, 1934",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","38f73bc9aacf29b57ae7ff37d855c2654723dabe",NA,NA,"397-55","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"4b3fe83f-0635-4f44-b6ac-a81c8ca90bec","2014-07-02 13:06:13.0","","127881","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data], Elisabeth Deichmann",NA,NA,"MCZ:IZ:127881",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-55; original ledger number=3000H; station number=343-35",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2686",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,NA,"73266922-ab99-438c-8dd1-e2e16dadeded",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1110",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1911-07-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-12T16:19:31.310Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Bermuda, Hungry Bay, near entrance of bay",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1110",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"July 31, 1911",32.288127,NA,"","Jessica Anne Mullen","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","579bf59899797c85a6768d87c7b73df616b768d0",NA,NA,"1104","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"73266922-ab99-438c-8dd1-e2e16dadeded","2014-06-02 10:35:17.0","In Life ""Dull grayish-white with blotches & spots of black, brown and olive""","HOL-1110","GEOLocate",NA,"",NA,NA,"Edward M. Grosse, Bermuda Institute of Ocean Sciences",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"-64.759955d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data], [no agent data]",NA,NA,"MCZ:IZ:HOL-1110",NA,-64.759955,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"32.288127d","collector number=1104",NA,NA,NA,"",NA,NA,NA,NA,301,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2707",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2768,NA,"e4854700-5634-498e-afc8-73f361ceda78",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1058",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1913-10-01/1913-10-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Western Central",NA,"","",NA,"2014-07-12T20:47:26.466Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Australia, Queensland, Torres Strait, Murray Islands (Mer)",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1058",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"October 1913",-9.91518,NA,"","Jessica Anne Mullen","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","68df4342a8b97065ae9926fdc86360d542a0d9b4",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"e4854700-5634-498e-afc8-73f361ceda78","2014-06-09 14:24:30.0","","HOL-1058","GEOLocate",NA,"",NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"144.05164d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data], [no agent data], [no agent data]",NA,NA,"MCZ:IZ:HOL-1058",NA,144.05164,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"-9.91518d","",NA,NA,NA,"",NA,NA,NA,NA,2768,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2727",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19300,NA,"33a953a8-6432-4516-9061-f588e807d9b9",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1998",NA,NA,NA,NA,NA,"GEOLocate",NA,"MCZ","Animalia",NA,"",NA,"1939-01-01/1939-12-31",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-12T17:32:07.813Z",NA,"",NA,NA,NA,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Bermuda",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1998",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"1939",32.316051,NA,"","Jessica Anne Mullen","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"decimal degrees","e265cff6bc1261e6719e62f8d78b344a7c2a5250",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"33a953a8-6432-4516-9061-f588e807d9b9","2014-05-28 11:52:50.0","","HOL-1998","GEOLocate",NA,"",NA,NA,"Hubert Lyman Clark",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"-64.759907d",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"unverified",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1998",NA,-64.759907,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"32.316051d","",NA,NA,NA,"",NA,NA,NA,NA,19300,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2729",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (70% ethanol)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d2c0f4b4-2b17-41c0-b51b-8c71d457a7b1",NA,NA,"",NA,NA,"Atlantic Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1248",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1903-07-02",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Atlantic Ocean, Atlantic, Western Central",NA,"","",NA,"2014-07-26T00:41:43.718Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Bermuda",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1248",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"2 VII 1903",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","7722ff2c02147d9777819316a674c24ea9682a3d",NA,NA,"","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"d2c0f4b4-2b17-41c0-b51b-8c71d457a7b1","2013-05-09 11:18:00.0","","HOL-1248","",NA,"",NA,NA,"Bermuda Institute of Ocean Sciences",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"[no agent data]",NA,NA,"MCZ:IZ:HOL-1248",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","station number=501",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
"2732",NA,NA,NA,NA,"Echinodermata",NA,"Holothuriidae","whole animal (dry)",NA,"Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9eb59bc8-9253-49e5-ac50-3bbd71dfee35",NA,NA,"",NA,NA,"Pacific Ocean",NA,"","",NA,"IZ","Aspidochirotida",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125731",NA,NA,NA,NA,NA,"",NA,"MCZ","Animalia",NA,"",NA,"1937-03-07",NA,NA,"Holothuria (Thymiosycia) arenicola","Semper, 1868",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"ICZN",NA,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"","",NA,"2014-07-22T07:56:16.179Z",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"President and Fellows of Harvard College","Gulf Of Calif., Espiritu Santo I., San Gabriel Bay",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:125731",NA,NA,NA,1,NA,NA,NA,0,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"",NA,NA,NA,"","",NA,"March 7, 1937",NA,NA,"","","en",NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","ae0631a5426a9f573b9b98ed2bedf0c85ba5d559",NA,NA,"397-6","Museum of Comparative Zoology, Harvard University",NA,"Holothuria",NA,NA,"9eb59bc8-9253-49e5-ac50-3bbd71dfee35","2014-07-02 13:14:55.0","Found dry in March 2007 by GCB.","125731","",NA,"",NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,"",NA,"",NA,"",NA,NA,"not applicable",NA,"",NA,NA,"PhysicalObject",NA,NA,NA,"",NA,"",NA,NA,"Elisabeth Deichmann, [no agent data]",NA,NA,"MCZ:IZ:125731",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) arenicola",NA,NA,"","collector number=397-6; original ledger number=3000P",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"arenicola",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA
