"","dwc.locationRemarks","idigbio.etag","inhs.juv_females","dwc.verbatimSRS","dwc.catalogNumber","dwc.latestPeriodOrHighestSystem","dwc.stateProvince","dwc.identificationVerificationStatus","dwc.verbatimLocality","dwc.preparation","dwc.occurrenceStatus","inhs.instars_Female","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.locality","dwc.otherCatalogNumbers","dwc.georeferencedBy","dwc.scientificName","inhs.formII_males","fcc.subfamily","idigbio.associateCondition","idigbio.barcodeValue","dwc.family","dwc.dataGeneralizations","dwc.verbatimDepth","dwc.associatedMedia","dwc.originalNameUsage","dwc.endDayOfYear","idigbio.determinationHistory","dwc.day","dwc.order","symbiotaverbatimScientificName","dcterms.rightsHolder","dwc.informationWithheld","dcterms.rights","idigbio.preservative","dcterms.modified","inhs.location_Stream","dwc.associatedTaxa","dwc.bed","dwc.latestAgeOrHighestStage","inhs.live","dwc.institutionCode","dwc.dateIdentified","dwc.geodeticDatum","dwc.continent","dwc.waterBody","dwc.earliestAgeOrLowestStage","dwc.occurrenceID","dwc.class","dwc.lithostratigraphicTerms","dwc.phylum","inhs.formII_females","dwc.verbatimTaxonRank","dwc.behavior","dwc.sex","idigbio.recordIds","dwc.identifiedBy","dwc.year","idigbio.uuid","dwc.recordedBy","dwc.subgenus","dwc.earliestEraOrLowestErathem","dwc.associatedReferences","dwc.group","dwc.nomenclaturalStatus","dwc.rights","dwc.higherGeography","dwc.nomenclaturalCode","dwc.coordinatePrecision","dcterms.source","dwc.formation","dwc.accessRights","dwc.scientificNameID","dwc.preparations","dwc.islandGroup","dwc.individualID","dwc.collectionID","dwc.startDayOfYear","dwc.countryCode","dwc.genus","idigbio.associateIdentifier","dwc.georeferenceRemarks","dwc.kingdom","dwc.decimalLatitude","dwc.latestEraOrHighestErathem","inhs.formI_males","symbiota.verbatimScientificName","dwc.minimumDepthInMeters","dwc.previousIdentifications","dcterms.language","dwc.lifeStage","inhs.juv_males","dcterms.type","dwc.taxonRemarks","inhs.location_Basin","dwc.samplingProtocol","dwc.georeferenceSources","dwc.identificationRemarks","idigbio.subfamily","dwc.fieldNumber","dwc.maximumElevationInMeters","inhs.superfamily","dwc.scientificNameAuthorship","dwc.fieldNotes","dwc.identificationReferences","dwc.dynamicProperties","dwc.decimalLongitude","dwc.eventID","dwc.collectionCode","dwc.county","inhs.instars_Male","dwc.taxonRank","dwc.taxonID","idigbio.substrate","dwc.occurrenceRemarks","dwc.associatedOccurrences","dwc.establishmentMeans","dwc.samplingEffort","dwc.locationID","dwc.identificationQualifier","idigbio.associatedFamily","idigbio.recordID","idigbio.endangeredStatus","dwc.maximumDepthInMeters","dwc.island","dwc.nameAccordingTo","dwc.eventTime","idigbio.preparationCount","inhs.relic","idigbio.associateCommonName","idigbio.associateAuthor","inhs.total_Males","fcc.datePicked","dwc.datasetID","dwc.coordinateUncertaintyInMeters","dwc.disposition","dwc.infraspecificEpithet","dwc.georeferenceVerificationStatus","idigbio.associateRelationship","fcc.superfamily","dwc.verbatimCoordinates","dwc.verbatimLongitude","dwc.eventRemarks","dwc.earliestEpochOrLowestSeries","dwc.higherClassification","dwc.identificationID","dwc.basisOfRecord","inhs.total_females","idigbio.subgenus","idigbio.associateDeterminedBy","idigbio.createdBy","dwc.member","inhs.locationTrs","dwc.relatedResourceID","dwc.lowestBiostratigraphicZone","dwc.georeferencedDate","dwc.verbatimCoordinateSystem","dwc.month","dwc.verbatimLatitude","dwc.typeStatus","dwc.individualCount","dcterms.bibliographicCitation","idigbio.recordId","dwc.recordNumber","id","http...symbiota.org.terms.verbatimScientificName","dwc.associatedSequences","dwc.latestEpochOrHighestSeries","dwc.eventDate","dwc.vernacularName","inhs.juv_undetermined","dwc.namePublishedIn","fcc.pickedBy","dwc.ownerInstitutionCode","inhs.vouchered","dcterms.reference","dwc.institutionID","idigbio.tribe","dcterms.references","dwc.country","dwc.datasetName","idigbio.version","dwc.municipality","idigbio.associatedRelationship","dwc.namePublishedInID","dwc.VerbatimEventDate","dwc.earliestPeriodOrLowestSystem","idigbio.associateNotes","dwc.reproductiveCondition","dwc.verbatimEventDate","dcterms.accessRights","dwc.rightsHolder","dwc.habitat","dwc.georeferenceProtocol","inhs.dead","inhs.location_RiverMile","dwc.locationAccordingTo","idigbio.dateModified","row.number","dwc.specificEpithet","dwc.footprintWKT","idigbio.hostFamily"
"1612","","594cf517848daa0983782e1b545f3b025b33c650",NA,NA,"962-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,4,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"79B4B5F4-C1F5-4881-B733-BC3711AF0862","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1997,"84fd4fa2-289b-4c8e-9db6-910d1c0fd22a","Paulay, G.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",19.4769166666667,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-155.939861111111,NA,"Invertebrate Zoology","Hawaii",NA,NA,NA,NA,NA,"",NA,NA,"BHAW-007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",11,"","",NA,NA,NA,"","84fd4fa2-289b-4c8e-9db6-910d1c0fd22a",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T12:54:49.775Z",NA,"impatiens",NA,NA
"1616","","6842677cb7a6e185f628866f11b6f9143a283c3f",NA,NA,"5610-Echinodermata",NA,"Bohol","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,13,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"D23EE2C5-C102-4AE9-9334-2D220E3CF3C9","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"4aad592a-ec08-4cf5-858a-fb4de4673660","Kris Netchy & Alex Kerr",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"SEMP-35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",6,"","",NA,NA,NA,"","4aad592a-ec08-4cf5-858a-fb4de4673660",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T12:58:16.702Z",NA,"impatiens",NA,NA
"1624","","f884b9c3784785eebc3dbd664f92c95c474f23bd",NA,NA,"6983-Echinodermata",NA,"Caroline Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,28,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"75E08E23-E400-4ADC-912F-4034AD7C01DA","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"9312560a-3abb-4635-b317-a0046da6a054","Sun Kim, Alex Kerr, François Michonneau",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",5.36916,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",163.01382,NA,"Invertebrate Zoology","Kosrae Island",NA,NA,NA,NA,NA,"",NA,NA,"KOSR-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","9312560a-3abb-4635-b317-a0046da6a054",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T15:36:44.312Z",NA,"impatiens",NA,NA
"1629","","3da62b538d156cee0c9d0949138f366f69e03857",NA,NA,"5970-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,14,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"27E3A673-7CE0-4679-9859-437624759727","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2007,"7ad4708a-abc9-4f02-bedc-ef1116eec291","Pauline Fiene",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","Maui Island",NA,NA,NA,NA,NA,"",NA,NA,"Fiene-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",7,"","",NA,NA,NA,"","7ad4708a-abc9-4f02-bedc-ef1116eec291",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T18:00:37.271Z",NA,"impatiens",NA,NA
"1641","","c7ba95c7fbe70c4d76616bd6864d10353f978d11",NA,NA,"16267-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,7,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"0710384F-1706-4FC8-836F-0D702E2AD928","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"3e5a7c4f-d450-495a-94ed-c9f700d30e90","Gustav Paulay et al.",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"MGNW-00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","3e5a7c4f-d450-495a-94ed-c9f700d30e90",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T14:15:59.378Z",NA,"impatiens",NA,NA
"1646","","134d5abc870d43aac64d37b3a978258a161cf4a7",NA,NA,"12163-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,10,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"EA6B5387-FB1D-4CEE-AFD4-C2387800618F","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2012,"7fd0631e-cf86-4406-8675-e9b28b7ea8a5","Mike Berumen, Gustav Paulay",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",22.2740833333333,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",39.0512,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"DJRS-039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","7fd0631e-cf86-4406-8675-e9b28b7ea8a5",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T14:23:13.425Z",NA,"impatiens",NA,NA
"1651","","1e1c8a61d3b7a53a443fa7ce1019b17beed2ae84",NA,NA,"8942-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,16,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"7CAD4EC0-A2CF-4898-9111-6D5DD5CA17BA","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"1ad44e84-e89e-4bc4-871d-55471a41dbe6","Tim Werner",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-6.38733,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",39.28727,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"Werner-Zanzibar-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","1ad44e84-e89e-4bc4-871d-55471a41dbe6",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T14:29:05.137Z",NA,"impatiens",NA,NA
"1662","","2023045d2f5205efac419699166776e81193a419",NA,NA,"6988-Echinodermata",NA,"Caroline Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,28,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"B51017A4-FFDC-4875-AF28-FFBFA76F790E","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2008,"6fd3701a-7dd3-4626-9ec7-579620abe2c2","Sun Kim, Alex Kerr, François Michonneau",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",5.36916,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",163.01382,NA,"Invertebrate Zoology","Kosrae Island",NA,NA,NA,NA,NA,"",NA,NA,"KOSR-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",2,"","",NA,NA,NA,"","6fd3701a-7dd3-4626-9ec7-579620abe2c2",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T17:39:31.394Z",NA,"impatiens",NA,NA
"1665","","2c4156548624b6e082a472ef7dfcfcb79e1e4277",NA,NA,"1909-Echinodermata",NA,"Niue Island","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,25,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"3CEF6747-E394-4EA9-B355-EBBD22A64EAC","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",1986,"1cb916e0-6f3b-4036-90f1-ef86bd8b399c","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-19.1,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-169.9,NA,"Invertebrate Zoology","Niue Island",NA,NA,NA,NA,NA,"",NA,NA,"HNIUE-062A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",8,"","",NA,NA,NA,"","1cb916e0-6f3b-4036-90f1-ef86bd8b399c",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Niue Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:42:33.993Z",NA,"impatiens",NA,NA
"1668","","03b35f90734a3d0eed4efcf1eaefab40cdeae5fe",NA,NA,"9628-Echinodermata",NA,"Western Australia","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,NA,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"75DB634A-31CC-4641-BA65-486555AE7AED","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2009,"c7dbbf20-6de9-4d16-9f5d-46c43bbd852f","François Michonneau",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-22.72148,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",113.6424,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"NIN09-St-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",5,"","",NA,NA,NA,"","c7dbbf20-6de9-4d16-9f5d-46c43bbd852f",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:44:25.410Z",NA,"impatiens",NA,NA
"1670","","3476009ba6f5c13f461d80fb6c0221fbc7417313",NA,NA,"12070-Echinodermata",NA,"","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,2,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"C836FF0D-CAC6-445F-A161-AAFAB258972A","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2012,"43543f88-89a8-4dc4-bc8e-7bbafec32001","Gustav Paulay",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",11.55875,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",42.74083,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"DJRS-019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","43543f88-89a8-4dc4-bc8e-7bbafec32001",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T13:51:06.056Z",NA,"impatiens",NA,NA
"1675","","ae77a74b4753d386dea15ec8a8c7823d7c23b693",NA,NA,"11790-Echinodermata",NA,"St. Martin","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,12,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"E114006A-7A96-40AB-A862-4F7CF04765E5","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2012,"92a261bd-2f2b-45e8-854d-73f266eddba2","Gustav Paulay, Mandy Bemis, Jean-Philippe Marechal, Romain Renoux, Julien Chalifour, Steeve Ruillet, Frank Roncuzzi",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",18.108,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-62.983,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"STM-016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",4,"","",NA,NA,NA,"","92a261bd-2f2b-45e8-854d-73f266eddba2",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","French Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T17:49:27.261Z",NA,"impatiens",NA,NA
"1684","","58fcc13b588a5adf9bb61494d91256905a7a293e",NA,NA,"6281-Echinodermata",NA,"Hawaiian Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,17,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"BF427C8B-FAFA-42B0-93C3-79E94CDDA71D","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2007,"d066c2fa-aead-4bbb-aca6-f199c9e3b371","Cory Pittman",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",21.0031,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-156.6694,NA,"Invertebrate Zoology","Maui Island",NA,NA,NA,NA,NA,"",NA,NA,"Pittman-1071017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",10,"","",NA,NA,NA,"","d066c2fa-aead-4bbb-aca6-f199c9e3b371",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T16:32:23.392Z",NA,"impatiens",NA,NA
"1691","","bbd7aef1cf284d1120230844303270a222a6d56d",NA,NA,"5294-Echinodermata",NA,"Society Islands","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,24,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"06006B83-2111-42F4-983A-26D756836696","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2006,"9bfa4ced-bf6e-45cf-a97a-5baf8f9e437c","Christian McKeon, Chris Meyer, Gustav Paulay",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-17.4836,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",-149.8581,NA,"Invertebrate Zoology","Moorea Island",NA,NA,NA,NA,NA,"",NA,NA,"GP-Loc-886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",7,"","",NA,NA,NA,"","9bfa4ced-bf6e-45cf-a97a-5baf8f9e437c",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T15:26:39.874Z",NA,"impatiens",NA,NA
"1694","","66611c14db3c163453e54f2614a431e6819bab8d",NA,NA,"14864-Echinodermata",NA,"Madang Province","",NA,NA,NA,NA,NA,NA,"","","","Holothuria impatiens",NA,NA,NA,NA,"Holothuriidae",NA,"","",NA,NA,NA,21,"Aspidochirotida",NA,"",NA,NA,NA,"09/08/2014",NA,NA,NA,NA,NA,"FLMNH","","","","",NA,"1ACB61E4-8B1D-4DAC-B5A0-B68DF4C792D8","Holothuroidea",NA,"",NA,NA,NA,"",NA,"",2012,"e732774d-b083-44da-b208-5acad1f7ae8a","Hugh Morrison, François Michonneau, Daisuke Uyeno, Vanessa Knutson",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"Holothuria",NA,"","",-5.179167,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"","","",NA,"",NA,NA,"Forskaal",NA,NA,"",145.828171,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,"",NA,NA,"PR71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","","",NA,"",NA,"PreservedSpecimen",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"",11,"","",NA,NA,NA,"","e732774d-b083-44da-b208-5acad1f7ae8a",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,"","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,"2014-09-12T17:54:48.112Z",NA,"impatiens",NA,NA
