"","idigbio.associateDeterminedBy","dwc.taxonRemarks","dwc.habitat","dwc.occurrenceStatus","dcterms.accessRights","dwc.locality","dwc.samplingProtocol","dwc.verbatimCoordinates","dwc.island","dwc.scientificName","dwc.waterBody","dcterms.bibliographicCitation","row.number","idigbio.subgenus","dwc.taxonRank","dwc.islandGroup","dwc.namePublishedInID","idigbio.associateCondition","idigbio.substrate","idigbio.dateModified","idigbio.associatedFamily","dwc.year","dwc.kingdom","dwc.minimumDepthInMeters","inhs.location_Stream","dwc.identificationQualifier","dwc.individualCount","dwc.county","dwc.establishmentMeans","dwc.associatedTaxa","dwc.reproductiveCondition","dwc.basisOfRecord","dwc.latestEraOrHighestErathem","inhs.live","inhs.superfamily","dwc.identificationReferences","inhs.instars_Female","dwc.nomenclaturalCode","dwc.higherGeography","dwc.eventDate","dwc.preparation","inhs.locationTrs","dwc.scientificNameAuthorship","fcc.superfamily","fcc.subfamily","idigbio.associateCommonName","idigbio.etag","idigbio.determinationHistory","dwc.collectionCode","dwc.member","dcterms.reference","idigbio.endangeredStatus","dwc.informationWithheld","inhs.location_Basin","dwc.samplingEffort","dwc.locationRemarks","dwc.municipality","dwc.countryCode","idigbio.uuid","dcterms.references","dwc.previousIdentifications","dwc.scientificNameID","inhs.formI_males","idigbio.associateAuthor","dwc.identificationVerificationStatus","dwc.lifeStage","dwc.recordedBy","dwc.endDayOfYear","inhs.juv_males","dwc.vernacularName","idigbio.barcodeValue","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dcterms.source","dwc.coordinateUncertaintyInMeters","dwc.georeferenceRemarks","symbiotaverbatimScientificName","idigbio.hostFamily","dwc.typeStatus","dwc.locationAccordingTo","dcterms.modified","dwc.latestAgeOrHighestStage","dwc.identifiedBy","dwc.continent","dwc.catalogNumber","dwc.class","idigbio.preservative","fcc.pickedBy","inhs.formII_males","dwc.identificationRemarks","dwc.associatedMedia","dwc.earliestEpochOrLowestSeries","dwc.verbatimSRS","dwc.originalNameUsage","inhs.vouchered","dwc.infraspecificEpithet","dwc.verbatimElevation","dwc.collectionID","dwc.occurrenceID","dwc.dataGeneralizations","dwc.fieldNumber","dwc.preparations","dwc.lowestBiostratigraphicZone","dwc.relatedResourceID","dwc.nameAccordingTo","idigbio.associatedRelationship","dwc.institutionCode","idigbio.associateRelationship","dwc.latestPeriodOrHighestSystem","dwc.verbatimTaxonRank","dwc.specificEpithet","dwc.lithostratigraphicTerms","inhs.location_RiverMile","dwc.individualID","dwc.formation","dwc.subgenus","dwc.disposition","dwc.earliestEraOrLowestErathem","inhs.dead","dwc.georeferenceProtocol","dwc.nomenclaturalStatus","dwc.fieldNotes","inhs.juv_undetermined","dcterms.rightsHolder","dcterms.language","dwc.locationID","dwc.dateIdentified","dwc.phylum","dwc.sex","inhs.relic","symbiota.verbatimScientificName","id","dwc.startDayOfYear","inhs.total_Males","dwc.earliestPeriodOrLowestSystem","idigbio.createdBy","dwc.verbatimDepth","dwc.georeferenceSources","dwc.eventRemarks","dwc.georeferencedDate","dwc.verbatimLongitude","dwc.geodeticDatum","dwc.month","idigbio.subfamily","dwc.order","dwc.earliestAgeOrLowestStage","inhs.juv_females","dwc.eventTime","dwc.stateProvince","dwc.footprintWKT","dwc.verbatimLatitude","dwc.verbatimEventDate","dwc.associatedReferences","dwc.decimalLongitude","dwc.institutionID","idigbio.recordId","idigbio.associateNotes","dwc.family","dwc.decimalLatitude","dwc.taxonID","dwc.coordinatePrecision","dwc.eventID","fcc.datePicked","dwc.datasetID","dwc.VerbatimEventDate","inhs.instars_Male","dwc.rights","dwc.datasetName","http...symbiota.org.terms.verbatimScientificName","dwc.country","idigbio.recordID","dwc.georeferenceVerificationStatus","dwc.georeferencedBy","dwc.associatedSequences","idigbio.tribe","dcterms.type","dwc.verbatimLocality","dwc.ownerInstitutionCode","dwc.dynamicProperties","inhs.total_females","dwc.accessRights","idigbio.preparationCount","idigbio.recordIds","dwc.identificationID","dwc.namePublishedIn","idigbio.version","dwc.day","dwc.genus","dwc.verbatimCoordinateSystem","idigbio.associateIdentifier","dwc.higherClassification","dwc.associatedOccurrences","dwc.latestEpochOrHighestSeries","dwc.group","dwc.maximumDepthInMeters","dcterms.rights","dwc.behavior","inhs.formII_females","dwc.bed","dwc.minimumElevationInMeters","dwc.maximumElevationInMeters","dwc.recordNumber","dwc.rightsHolder"
"1492",NA,NA,"",NA,NA,"Republic of Fiji, Suva, Viti Levu","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T14:25:31.627Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1917-01-01/1917-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"c82bb06d05c455ac84355137bf85cfa67eff8fb1",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"fdcb6cf8-2cfb-4029-a663-dc5f6811edf3","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1262",NA,NA,NA,NA,"unverified",NA,"John W. Mills",NA,NA,NA,NA,NA,"",NA,5578,"",NA,NA,"",NA,"2014-06-04 11:10:08.0",NA,"[no agent data]","Pacific Ocean","HOL-1262","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1262",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1262",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"fdcb6cf8-2cfb-4029-a663-dc5f6811edf3",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"178.462672d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"-18.152256d","1917","",178.462672,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",-18.152256,NA,5578,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Jessica Anne Mullen",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"1825",NA,NA,"",NA,NA,"off Mozambique","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T04:35:36.284Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1836-02-05/1880-06-05",NA,NA,"(Brandt, 1835)",NA,NA,NA,"4f966dda78a01566809d0e080b0f5503ef349913",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"55173227-ba92-4d2d-b222-0cc981d91832","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-729",NA,NA,NA,NA,"",NA,"Caleb Cooke",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-07-02 08:21:49.0",NA,"[no agent data]","Indian Ocean","HOL-729","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-729",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-729",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"55173227-ba92-4d2d-b222-0cc981d91832",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","[date unknown]","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2045",NA,NA,"",NA,NA,"South Africa: Natal, off Durban","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-28T20:30:31.281Z",NA,NA,"Animalia",329.184,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1920-06-16",NA,NA,"(Brandt, 1835)",NA,NA,NA,"b453722cb68e08da1dbb7731d220aa4ca39e9dbb",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"9548d9c1-cd52-499e-8402-c78498f980a4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1245",NA,NA,NA,NA,"",NA,"South African Museum",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 12:02:26.0",NA,"[no agent data]","Indian Ocean","HOL-1245","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1245",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1245",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"9548d9c1-cd52-499e-8402-c78498f980a4",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","June 16, 1920","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,329.184,NA,NA,NA,NA,NA,NA,"",NA
"2061",NA,NA,"",NA,NA,"Tanzania, Zanzibar","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T00:04:51.017Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1700-01-01/2014-05-02",NA,NA,"(Brandt, 1835)",NA,NA,NA,"b334945d3819c76843154d479eb6a675ca696298",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"b0c02da6-60b2-46b6-9803-fda62bb05290","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-732",NA,NA,NA,NA,"unverified",NA,"[no agent data]",NA,NA,NA,NA,NA,"other number=42",NA,67127,"",NA,NA,"",NA,"2014-05-02 11:08:28.0",NA,"World Register of Marine Species, [no agent data]","Indian Ocean","HOL-732","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-732",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-732",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"b0c02da6-60b2-46b6-9803-fda62bb05290",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"39.473784d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"-6.028749d","[date unknown]","",39.473784,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",-6.028749,NA,67127,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Jessica Anne Mullen",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2086",NA,NA,"",NA,NA,"United States, Hawaii","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T14:30:18.095Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1700-01-01/1867-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"7a449e95d44419c8e123239dcd167998889edbb6",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"644fb8fe-191b-4fe6-a993-3f61378a585a","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-722",NA,NA,NA,NA,"",NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"Syntype",NA,"2013-06-18 15:17:42.0",NA,"World Register of Marine Species, E. Selenka","Pacific Ocean","HOL-722","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-722",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-722",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"644fb8fe-191b-4fe6-a993-3f61378a585a",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","Unknown","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2102",NA,NA,"",NA,NA,"Australia, off New South Wales, Lord Howe Island; far out at Neds Beach","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T21:03:21.824Z",NA,NA,"Animalia",18.288,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Southwest","1932-04-21",NA,NA,"(Brandt, 1835)",NA,NA,NA,"df81f275b1d58d0109a643620f1817ed7c265939",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"75786012-3600-4333-94a4-78c3cb528eab","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1549",NA,NA,NA,NA,"unverified",NA,"Harvard Australia Expedition 1931-1932",NA,NA,NA,NA,NA,"",NA,1074,"",NA,NA,"Holotype",NA,"2014-06-18 09:07:24.0",NA,"World Register of Marine Species, Hubert Lyman Clark","Pacific Ocean","HOL-1549","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1549",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1549",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"75786012-3600-4333-94a4-78c3cb528eab",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"159.083d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"31.516d","April 21, 1932","",159.083,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",31.516,NA,1074,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penny Benson",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,21.9456,NA,NA,NA,NA,NA,NA,"",NA
"2345",NA,NA,"",NA,NA,"Fiji Islands, Komo Island","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-04T10:13:42.437Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1897-11-27",NA,NA,"(Brandt, 1835)",NA,NA,NA,"1d807732150d315142c2ab72c5c29f29792ea4a8",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"8e9fc9ae-777d-4286-980f-82a1462d7a75","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-723",NA,NA,NA,NA,"",NA,"Alexander Agassiz",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-04-28 12:02:26.0",NA,"[no agent data]","Pacific Ocean","HOL-723","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-723",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-723",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"8e9fc9ae-777d-4286-980f-82a1462d7a75",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","November 27, 1897","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2380",NA,NA,"",NA,NA,"Tanzania, Zanzibar","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T13:16:35.944Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1836-02-05/1867-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"fdd518a8dbf4440ba21798cc115177eb4324b10c",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"f0bed4ec-9996-4289-ad03-e5a252564822","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-731",NA,NA,NA,NA,"unverified",NA,"Caleb Cooke",NA,NA,NA,NA,NA,"other number=638",NA,67127,"",NA,NA,"Syntype",NA,"2014-05-28 10:22:29.0",NA,"World Register of Marine Species, E. Selenka","Indian Ocean","HOL-731","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-731",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-731",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"GEOLocate",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"f0bed4ec-9996-4289-ad03-e5a252564822",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","GEOLocate","",NA,"39.473784d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"-6.028749d","[date unknown]","",39.473784,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",-6.028749,NA,67127,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Jessica Anne Mullen",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2398",NA,NA,"",NA,NA,"Paumotus: Rangiroa","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T14:53:15.882Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1882-01-01/1921-01-01",NA,NA,"(Brandt, 1835)",NA,NA,NA,"3586c660d826201a16bbc676b7c27c5ba567e3ae",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"7ab4d433-abc5-4fc7-b7fa-d11f9b75fd62","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1323",NA,NA,NA,NA,"",NA,"USFC Steamer Albatross",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2013-10-15 15:02:31.0",NA,"[no agent data]","Pacific Ocean","HOL-1323","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1323",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1323",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"7ab4d433-abc5-4fc7-b7fa-d11f9b75fd62",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","unknown","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2400",NA,NA,"",NA,NA,"United States, Hawaii","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T01:47:03.386Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1874-04-01/1874-04-30",NA,NA,"(Brandt, 1835)",NA,NA,NA,"0eac0057e14637da57fbac7ab3a37315e9bb740a",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"69b31517-0a18-4611-96ad-0944ac4d3e67","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-727",NA,NA,NA,NA,"",NA,"Dr. W. H. Jones",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-06-04 10:59:19.0",NA,"[no agent data]","Pacific Ocean","HOL-727","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-727",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-727",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"69b31517-0a18-4611-96ad-0944ac4d3e67",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","April 1874","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2407",NA,NA,"",NA,NA,"Guam","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T15:32:27.616Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1945-01-01/1945-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"f3672d003bb4d8a4a8b95fc382b33a73e57bfe7c",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"ce35caa7-27be-4be7-87ce-c4b5552387fc","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2157",NA,NA,NA,NA,"",NA,"Fred C. Ziesenhenne",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 14:02:28.0",NA,"[no agent data]","Pacific Ocean","HOL-2157","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2157",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-2157",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"ce35caa7-27be-4be7-87ce-c4b5552387fc",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1945","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
