"","idigbio.associateIdentifier","dwc.higherClassification","idigbio.associateNotes","dwc.eventID","dwc.recordNumber","dwc.rights","fcc.datePicked","dcterms.modified","dcterms.language","dwc.otherCatalogNumbers","dwc.verbatimCoordinates","dwc.collectionCode","dwc.preparations","idigbio.substrate","idigbio.preservative","dcterms.type","dwc.group","dwc.countryCode","dwc.eventRemarks","dwc.collectionID","dwc.occurrenceStatus","dwc.lithostratigraphicTerms","dwc.preparation","dwc.nomenclaturalStatus","inhs.total_Males","inhs.relic","inhs.formII_males","dwc.georeferenceProtocol","dwc.lifeStage","idigbio.etag","dwc.identificationID","dwc.nameAccordingTo","dwc.identificationQualifier","inhs.instars_Female","idigbio.determinationHistory","dwc.family","dwc.taxonRank","dwc.latestAgeOrHighestStage","idigbio.createdBy","dwc.associatedTaxa","dwc.verbatimSRS","idigbio.associateCommonName","fcc.superfamily","dwc.locationRemarks","dwc.coordinateUncertaintyInMeters","dwc.order","idigbio.uuid","idigbio.associateRelationship","idigbio.recordIds","dcterms.accessRights","dwc.scientificNameAuthorship","dwc.namePublishedIn","dwc.individualID","dwc.country","dwc.identifiedBy","dwc.waterBody","inhs.juv_undetermined","dwc.datasetID","dwc.fieldNotes","dwc.sex","dwc.previousIdentifications","dwc.infraspecificEpithet","dcterms.rightsHolder","dwc.catalogNumber","inhs.locationTrs","dwc.county","inhs.location_Stream","dwc.georeferenceSources","dwc.georeferencedDate","dwc.verbatimDepth","dwc.identificationVerificationStatus","dcterms.source","idigbio.associateDeterminedBy","inhs.total_females","dwc.establishmentMeans","dwc.minimumElevationInMeters","dwc.verbatimElevation","dwc.latestEpochOrHighestSeries","idigbio.subgenus","idigbio.version","dwc.individualCount","dwc.latestEraOrHighestErathem","symbiota.verbatimScientificName","dwc.bed","dwc.typeStatus","dwc.dataGeneralizations","dwc.occurrenceID","dwc.identificationReferences","dwc.reproductiveCondition","dwc.verbatimLongitude","idigbio.hostFamily","inhs.dead","idigbio.subfamily","dwc.earliestAgeOrLowestStage","dwc.verbatimLocality","dwc.taxonRemarks","idigbio.barcodeValue","dwc.island","dwc.accessRights","dcterms.rights","dwc.georeferencedBy","dwc.ownerInstitutionCode","dwc.associatedOccurrences","dwc.earliestPeriodOrLowestSystem","idigbio.preparationCount","idigbio.recordId","dwc.georeferenceRemarks","dwc.subgenus","dwc.associatedMedia","dwc.nomenclaturalCode","idigbio.associateCondition","dwc.rightsHolder","dwc.stateProvince","dwc.footprintWKT","inhs.live","dwc.associatedReferences","dwc.day","dwc.earliestEraOrLowestErathem","dwc.startDayOfYear","dwc.maximumDepthInMeters","dwc.verbatimEventDate","dwc.dynamicProperties","http...symbiota.org.terms.verbatimScientificName","dwc.VerbatimEventDate","dwc.decimalLatitude","dwc.fieldNumber","idigbio.associatedRelationship","dwc.latestPeriodOrHighestSystem","dwc.coordinatePrecision","dwc.maximumElevationInMeters","dcterms.reference","dwc.higherGeography","idigbio.dateModified","dwc.lowestBiostratigraphicZone","dwc.year","id","dwc.geodeticDatum","dwc.class","dwc.datasetName","dcterms.bibliographicCitation","inhs.superfamily","fcc.pickedBy","dwc.associatedSequences","dwc.basisOfRecord","dwc.relatedResourceID","inhs.vouchered","dwc.locationID","dwc.dateIdentified","dwc.phylum","dwc.formation","inhs.formI_males","dwc.municipality","dwc.namePublishedInID","idigbio.tribe","dwc.occurrenceRemarks","idigbio.recordID","dwc.kingdom","symbiotaverbatimScientificName","dwc.scientificName","dwc.institutionCode","idigbio.associatedFamily","dwc.originalNameUsage","dwc.georeferenceVerificationStatus","dwc.samplingEffort","dwc.month","row.number","dwc.institutionID","dwc.minimumDepthInMeters","fcc.subfamily","dwc.disposition","dwc.habitat","dwc.behavior","dwc.continent","idigbio.associateAuthor","dwc.vernacularName","inhs.formII_females","inhs.location_RiverMile","dwc.recordedBy","dwc.locality","dwc.specificEpithet","dwc.decimalLongitude","inhs.instars_Male","idigbio.endangeredStatus","dwc.endDayOfYear","dwc.eventTime","dwc.scientificNameID","dwc.earliestEpochOrLowestSeries","dwc.verbatimLatitude","dwc.samplingProtocol","dwc.eventDate","inhs.juv_females","inhs.location_Basin","dwc.verbatimCoordinateSystem","dwc.verbatimTaxonRank","dwc.genus","inhs.juv_males","dcterms.references","dwc.identificationRemarks","dwc.member","dwc.locationAccordingTo","dwc.islandGroup","dwc.taxonID","dwc.informationWithheld"
"2402",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-04 15:02:26.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"5c66f56255367ea80309aac7650a4aef9704e8bf",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",14857,"Aspidochirotida","24625fcf-f00f-481e-bf7f-8d125ef4baeb",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1519",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1519",NA,NA,"124.53833d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1519","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1933","",NA,NA,-15.34278,"",NA,NA,14857,NA,NA,"Indian Ocean, Indian Ocean, Eastern","2014-07-12T16:30:39.854Z",NA,NA,"24625fcf-f00f-481e-bf7f-8d125ef4baeb","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Indian Ocean",NA,NA,NA,NA,"Beresford E. Bardwell","Australia, Western Australia, Augustus Island","impatiens",124.53833,NA,NA,NA,NA,NA,NA,"-15.34278d","","1933-01-01/1933-12-31",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1519","",NA,NA,NA,NA,NA
"2403",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2013-06-18 15:17:42.0","en","other number=129","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"cae37fc3a926d872c270c97216a5a749d1645379",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","a3cd1e68-a68c-446e-a110-b7428b079763",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","World Register of Marine Species, E. Selenka","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-564",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Syntype",NA,"MCZ:IZ:HOL-564",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-564","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"Unknown","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-12T12:55:23.723Z",NA,NA,"a3cd1e68-a68c-446e-a110-b7428b079763","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"[no agent data]","Society Islands","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1700-01-01/1867-12-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-564","",NA,NA,NA,NA,NA
"2406",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-06-13 12:34:59.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"0a03dfeb07244d700787b6f474cd2080311aa93d",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","420953ec-c2ac-4207-bd75-de2909f14ec9",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1410",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1410",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1410","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"March 1909","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Atlantic Ocean, Atlantic, Western Central","2014-07-12T20:34:32.825Z",NA,NA,"420953ec-c2ac-4207-bd75-de2909f14ec9","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Atlantic Ocean",NA,NA,NA,NA,"Hubert Lyman Clark","Jamaica, Port Antonio","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1909-03-01/1909-03-31",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1410","",NA,NA,NA,NA,NA
"2413",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-03-11 10:36:47.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"79a0bdd289d5b7f5885463c51eeb45d14bdc6fec",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","b63053fa-4274-4d4a-8b19-a276e6210666",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-635",NA,"",NA,"GEOLocate",NA,"","migration",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-635",NA,NA,"-90.530712d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrew D. Williston","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"Georeferenced for Floreana Island",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-635","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"June 10-11, 1872","",NA,NA,-1.381306,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Southeast","2014-07-13T04:10:00.013Z",NA,NA,"b63053fa-4274-4d4a-8b19-a276e6210666","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Hassler Expedition","Ecuador: Galápagos Archipelago, Charles Island","impatiens",-90.530712,NA,NA,NA,NA,NA,NA,"-1.381306d","","1872-06-10/1872-06-11",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-635","",NA,NA,NA,NA,NA
"2414",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"567",NA,NA,"2014-06-09 10:30:22.0","en","collector number=567","","IZ","whole animal (dry)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"GEOLocate",NA,"2f505676d23f7ebebfad1321e67a3f2e65e793ee",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",67127,"Aspidochirotida","b30b903b-6ddd-4ddc-92f5-e908afd68fb9",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","World Register of Marine Species, E. Selenka","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1422",NA,"",NA,"GEOLocate",NA,"","unverified",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Syntype",NA,"MCZ:IZ:HOL-1422",NA,NA,"39.473784d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jessica Anne Mullen","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1422","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"[date unknown]","",NA,NA,-6.028749,"",NA,NA,67127,NA,NA,"Indian Ocean, Indian Ocean, Western","2014-07-13T00:20:32.688Z",NA,NA,"b30b903b-6ddd-4ddc-92f5-e908afd68fb9","WGS84","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","2012-08-01 00:00:00.0","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Indian Ocean",NA,NA,NA,NA,"[no agent data]","Tanzania, Zanzibar","impatiens",39.473784,NA,NA,NA,NA,NA,NA,"-6.028749d","","1700-01-01/2014-05-02",NA,NA,"decimal degrees",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1422","Found dry in collection March 22, 2007 by TT",NA,NA,NA,NA,NA
"2426",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:14:56.0","en","original ledger number=2095 D; station number=1094-40","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"92a041b855e6d164d0c14a53673d78c1469a071a",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","e73add85-32ee-4b43-abe4-c0deddc5c85a",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","127905",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:127905",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127905","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"February 10, 1940","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-22T07:52:04.568Z",NA,NA,"e73add85-32ee-4b43-abe4-c0deddc5c85a","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Mexico, Baja California, Puerto Escondido","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1935-01-24",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127905","",NA,NA,NA,NA,NA
"2427",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:14:56.0","en","original ledger number=2095 F; station number=510-36","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"45abdd3b2c5c11a55776269c5c102ca46b7e9049",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","33eb9096-30b6-4ca5-8385-47966ee17513",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","127906",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:127906",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127906","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"February 22, 1936","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-22T07:52:08.478Z",NA,NA,"33eb9096-30b6-4ca5-8385-47966ee17513","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Mexico, Gulf of California, Espiritu Santo I., Cove So. of Ballenas Bay","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1936-02-22",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127906","",NA,NA,NA,NA,NA
"2429",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-07-02 13:14:56.0","en","original ledger number=2095 H; station number=1083-40","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"39d737cc48806d1ac6a39b74f2936c0a5be2e6da",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","403b8dcc-dcc4-4379-b0df-062d352969e5",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","127908",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:127908",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127908","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"February 5, 1940","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-07-22T07:49:45.466Z",NA,NA,"403b8dcc-dcc4-4379-b0df-062d352969e5","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions","Mexico, Gulf of California, San Esteban Is.","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1940-02-05",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:127908","",NA,NA,NA,NA,NA
"2652",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-14 10:02:27.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"5e22e8179cda00b3dbe630f94a539c193bfb5855",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","e3b80d79-cd38-4b59-8d2b-a4519a10d704",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-2104",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-2104",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2104","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"March 22 1940","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-04-19T02:46:39.508Z",NA,NA,"e3b80d79-cd38-4b59-8d2b-a4519a10d704","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"Edward Flanders Ricketts, John Steinbeck","Mexico, Lower California, El Mogota","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1940-04-01",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2104","",NA,NA,NA,NA,NA
"2654",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-14 14:02:25.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"cdd0c458ad36e2fcadaaf91a0a522c066c5e5952",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","de223347-cfdd-4e12-a935-5160bca6fb4b",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data], World Register of Marine Species","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-4078",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-4078",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4078","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"1962-03-17","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Pacific Ocean, Pacific, Eastern Central","2014-04-19T02:35:12.044Z",NA,NA,"de223347-cfdd-4e12-a935-5160bca6fb4b","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Pacific Ocean",NA,NA,NA,NA,"West","Off Sonora; Sonora, Norse Beach [Mexico]","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1962-03-17",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4078","",NA,NA,NA,NA,NA
"2655",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Thymiosycia) impatiens",NA,NA,"",NA,NA,"2014-04-04 15:02:26.0","en","","","IZ","whole animal (70% ethanol)",NA,NA,"PhysicalObject",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"d33c0814d06ecf7d10c6a1ba8eadc4be01a59ab4",NA,NA,NA,NA,NA,"Holothuriidae",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,"",NA,"Aspidochirotida","d3e0db9c-d185-40e5-984b-3aee614fd698",NA,NA,NA,"(Forskål, 1775)",NA,NA,"","[no agent data]","",NA,NA,NA,"",NA,"","President and Fellows of Harvard College","HOL-1517",NA,"",NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,"MCZ:IZ:HOL-1517",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Museum of Comparative Zoology, Harvard University","",NA,NA,NA,"",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1517","ICZN",NA,NA,"",NA,NA,"",NA,NA,0,NA,"May 21, 1932","",NA,NA,NA,"",NA,NA,NA,NA,NA,"Indian Ocean, Indian Ocean, Eastern","2014-04-19T02:43:53.160Z",NA,NA,"d3e0db9c-d185-40e5-984b-3aee614fd698","","Holothuroidea",NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Holothuria (Thymiosycia) impatiens","MCZ",NA,NA,NA,NA,NA,NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"not applicable","",NA,"Indian Ocean",NA,NA,NA,NA,"Harvard Australian Expedition 1931-1932","Australia, off Northern Territory, Cobourg Peninsula","impatiens",NA,NA,NA,NA,NA,NA,NA,"","","1932-05-21",NA,NA,"",NA,"Holothuria",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1517","",NA,NA,NA,NA,NA
